tranche zincid SMILES
H29P300 ZINCtA000001eUS8 CCOC(=O)c1cnc(SC)[nH]c1=N[C@@H]1CC[C@@H]2CN(C(=O)C(F)(F)CC)C[C@@H]21
H25P180 ZINCpo00001BLwat CC/C=C\[C@@H](CO)NC(=O)[C@H]1C[C@@H](F)CN1C(=O)[C@@H]1[C@H]2CCCC[C@H]21
H29P290 ZINCtz000004JjrO CC(C)CO[C@H](C(=O)N[C@H]1CCN(C(=O)c2cc3c[nH]nc3s2)C[C@@H]1F)C(C)C
H28P430 ZINCsN000009NpXg O=C(N[C@]12CCC[C@@H]1N(C(=O)C1=C[C@H]3CCC[C@@H]13)CCC2)c1ccccc1Cl
H28P430 ZINCsN000009NsBY O=C(N[C@]12CCC[C@H]1N(C(=O)c1cc(Cl)c[nH]1)CC2)c1cc(C(F)(F)F)cs1
H29P200 ZINCtq000007wqbH CC(C)OCC1(C(=O)NC[C@@H]2CCCCN2C(=O)[C@@H]2CCC(=O)N2C(C)C)CC1
H26P180 ZINCqo00001mW92W COCCC(=O)N1C[C@H](CNC(=O)c2ccc(CC(C)C)nc2)[C@H]2C[C@@H]21
H27P260 ZINCrw00000PSmvH COCc1ccc(C(=O)N[C@H]2CN(C(=O)[C@@H]3CCCC4(CC4)C3)C[C@H]2F)o1
H27P460 ZINCrQ000008Ctue Cc1cc(C(=O)N2C[C@H](CNC(=O)[C@@H](C)CC3CCCCC3)C[C@H]2C)cs1
H29P390 ZINCtJ000019MsdS Cc1cc2c(cc1NC(=O)N(Cc1c(Br)n[nH]c1C)C[C@@](C)(O)C(C)C)OCO2
H28P320 ZINCsC000006XmNt CC(C)[C@](C)(CNC(=O)c1cc(F)c(F)cc1O)NC(=O)c1ncccc1Cl
H29P070 ZINCtd00002pFEuR Cn1nc(CNC(=O)c2coc3ccccc23)cc1C(=O)NC1([C@@H](O)CO)CC1
H27P320 ZINCrC00000rSZTQ CCCCN(C)c1ccc(C(=O)N=c2ncn(Cc3ccncc3)[nH]2)cc1
H28P310 ZINCsB0000069t5f C=CC1(CC(=O)N[C@@H]2CCC[C@H]2NC(=O)[C@](C)(OC)c2ccccc2F)CC1
H27P360 ZINCrG00000aZb6m CC(C)c1ncc(C(=O)N2CC[C@H](C(=O)N3CCCC[C@H]3C)C(C)(C)C2)o1
H28P090 ZINCsf00002fTAsu Cc1ccnc(C(=O)N2CC[C@@H](NC(=O)CN3CCC(O)CC3)[C@H](C)C2)c1F
H29P360 ZINCtG00000FiNFF C[C@@H](C(=O)Nc1cncc(Br)c1)C1CCN(C(=O)c2cc3cccnn3c2)CC1
H25P020 ZINCp800000MJYO2 CCC(=O)N[C@H]1CC[C@H]1NC(=O)c1ccc(=O)n(C[C@H]2CCCO2)n1
H26P160 ZINCqm00001mWas5 CC(C)(C(=O)NC1CN(C(=O)c2cc(N)ccc2Cl)C1)c1cncnc1
H24P190 ZINCop00000FxMcb CCC[C@@H]1C[C@H](C(=O)N[C@H]2CCCC[C@H]2NS(=O)(=O)CC)CCO1
H26P240 ZINCqu00000nPy6q Cc1conc1C(=O)N(C)[C@@H]1C[C@H]2C[C@@H]1N(C(=O)[C@H]1CCC(F)(F)C1)C2
H27P190 ZINCrp00000yyLza COC/C(C)=C/C(=O)N1C[C@@]2(NC(=O)c3cc(Br)nn3C)CCC[C@@]2(F)C1
H24P250 ZINCov00000otoba CCN(CC)C(=O)N1CCN(Cc2cc(-c3ccoc3)on2)CC1
H28P370 ZINCsH000003GZEE Cc1sc(O)nc1C(=O)NCC[C@H](C)NC(=O)C1CC(c2ccc(Br)cc2)C1
H28P160 ZINCsm00000M6Gf1 CCn1ccc(C(=O)NC[C@H]2CC[C@H](NC(=O)[C@H]3OCC[C@H]3C)CC2)cc1=O
H28P240 ZINCsu00000DRLj4 CCn1nnnc1[C@H](c1cn(C)nc1C(C)C)N(C)[C@@H](C)CN1CCCCC1
H23P200 ZINCnq00000j2rPt CCCCS[C@H](C)C(=O)NCC[C@H](O)CNC(=O)C=C1CCC1
H25M000 ZINCp5000015Jie3 C#CC[C@]1(O)C[C@@H](C(=O)NC/C=C/C(=O)NC[C@]2(O)CCCOC2)C1
H28P160 ZINCsm00001dmntT COc1c[nH]nc1C(=O)N(CCNC(=O)c1cc(F)c(F)cc1Cl)C[C@H](C)O
H26P150 ZINCql00001mWc9L O=C([C@H]1CCc2nccn21)N1CCN(C(=O)c2ccsn2)[C@@H](C2CC2)C1
H28P250 ZINCsv000006Evnh C#Cc1cccc(C(=O)N2CC[C@@H](CN(C)C(=O)CCC(=O)OCC)C2)c1Cl
H28P320 ZINCsC000006Xm0X CC(C)[C@](C)(CNC(=O)c1c(F)cc(F)cc1Cl)NC(=O)[C@@H]1C[C@H]2C=C[C@@H]1O2
